SAMPLE	output.r2.means.M3	output.i.means.M3	output.r.means.M3	output.e.means.M3	output.f.means.M3	output.c.means.M3	output.vc.means.M3	output.r2.means.M2	output.i.means.M2	output.r.means.M2	output.e.means.M2	output.f.means.M2	output.c.means.M2	output.vc.means.M2	output.r2.means.M1	output.i.means.M1	output.r.means.M1	output.e.means.M1	output.f.means.M1	output.c.means.M1	output.vc.means.M1
75	0.005512665	0.00029209	0.028364678	0.020590872	0.002715691	0.020181678	0.006369449	0.020367045	0.001076189	0.012419911	0.009207043	0.002261639	0.023319697	0.019210961	0.023562082	0.002783883	0.010954927	0.004852536	0.001605058	0.020002816	0.02683054
76	0.005888918	0.000376999	0.026700759	0.014860551	0.003805345	0.020128622	0.005800444	0.018202738	0.001240021	0.013650093	0.005393918	0.002126711	0.020890101	0.017947301	0.020619148	0.002569726	0.007339675	0.004647278	0.001598262	0.017311004	0.02150864
77	0.006099644	0.000355481	0.029926855	0.014844859	0.002763912	0.016438787	0.005382601	0.021601987	0.001340938	0.014911369	0.007260778	0.002207934	0.019084112	0.020379388	0.021630367	0.002520118	0.010108976	0.004785777	0.001322072	0.021991218	0.02517027
78	0.005209543	0.000360752	0.029756466	0.015504378	0.003561678	0.019981709	0.00494639	0.020734307	0.001192661	0.012635551	0.006108047	0.001686073	0.016526633	0.021087066	0.018602105	0.002277381	0.010194511	0.004630411	0.001653003	0.018679294	0.026557659
79	0.006651473	0.000337085	0.025526602	0.018263904	0.003621193	0.017138713	0.005808052	0.023323779	0.001323124	0.01609906	0.006882632	0.002192684	0.019702463	0.016606742	0.020602318	0.002470046	0.00735466	0.004747183	0.001144567	0.017246902	0.021632237
80	0.006369743	0.000286538	0.030004823	0.014857367	0.003243206	0.016708959	0.006517317	0.018249441	0.001371156	0.018812836	0.005071455	0.001813671	0.016122933	0.01768291	0.029073932	0.002343266	0.012646569	0.00432914	0.001008482	0.019063456	0.015969742
81	0.005749941	0.000348859	0.030328537	0.01434328	0.00332585	0.016575951	0.006674898	0.021232295	0.0011433	0.015911382	0.00667213	0.001388971	0.016750711	0.017537415	0.020296724	0.002313569	0.008233082	0.005383445	0.001151907	0.018572415	0.019097571
82	0.005416105	0.000325711	0.026342447	0.016303968	0.003664493	0.018886298	0.004449345	0.014845073	0.001129731	0.016479921	0.008400507	0.001853813	0.019275863	0.020770864	0.023151482	0.002505973	0.008158996	0.004403671	0.000964689	0.016454605	0.020013076
83	0.005409016	0.000317695	0.035760071	0.017505265	0.002829546	0.016757239	0.004048843	0.014956273	0.001051424	0.013594164	0.006386499	0.00185527	0.018643923	0.017861186	0.022497163	0.002327645	0.008776219	0.00444078	0.000921535	0.016150134	0.02500645
84	0.005434897	0.000307622	0.026284344	0.019915148	0.002067824	0.016144789	0.004866069	0.014428822	0.001031239	0.017888637	0.006313885	0.001724789	0.018592116	0.01638934	0.023940997	0.002083914	0.009605166	0.006183462	0.001171543	0.016971301	0.020416476
85	0.004584845	0.000295572	0.027804004	0.01435759	0.003178588	0.016316309	0.0043133	0.018461403	0.001586718	0.014341032	0.006140787	0.001937261	0.016373474	0.017528254	0.020687654	0.002272802	0.01024249	0.004965878	0.001369293	0.019245912	0.017584328
86	0.004543555	0.000337514	0.032675027	0.015308313	0.003099618	0.01361215	0.004826428	0.019737718	0.000886729	0.012159455	0.005214175	0.002040911	0.015725848	0.02525854	0.023139183	0.002062459	0.009725429	0.00553992	0.001142511	0.015092721	0.020515355
87	0.004818855	0.000305325	0.020636086	0.0161906	0.003143939	0.016068924	0.004800314	0.013153996	0.000972681	0.014747515	0.00432096	0.001626547	0.015788379	0.014029851	0.015794827	0.002220173	0.007351607	0.004390238	0.001177355	0.013988562	0.016271337
88	0.004966424	0.000364075	0.026510425	0.015121517	0.003199334	0.017593079	0.004231388	0.014565934	0.000976002	0.016379116	0.006813395	0.002134498	0.013642188	0.013400623	0.021099598	0.002295083	0.007828133	0.003751553	0.001178173	0.015415812	0.019669188
89	0.004185102	0.000284988	0.025588931	0.010484533	0.002834079	0.018215354	0.005228189	0.015013299	0.000990324	0.009040668	0.006219929	0.001349914	0.013969677	0.018337298	0.017178363	0.002269286	0.006675574	0.004057996	0.000941253	0.012615894	0.020181582
90	0.004385698	0.000279966	0.02472029	0.018060231	0.002678789	0.012656273	0.004093521	0.021919712	0.00108947	0.011927948	0.005843235	0.001771871	0.016055493	0.020146858	0.017900532	0.00188008	0.008249792	0.004702501	0.001172042	0.013196868	0.021710748
91	0.004755537	0.000240897	0.025845072	0.015590868	0.002158424	0.01358347	0.00435793	0.014008145	0.000886918	0.009893311	0.004813404	0.001751045	0.014886414	0.017115754	0.017423987	0.001857368	0.006822858	0.003548591	0.001114127	0.013824962	0.021560726
92	0.005209197	0.000267896	0.022083124	0.014720458	0.003305318	0.011968964	0.004018123	0.01849531	0.000997653	0.012171899	0.006367212	0.001458005	0.016172811	0.017106197	0.016103768	0.00201278	0.006136857	0.004507741	0.001019649	0.015516039	0.019570563
93	0.004156096	0.000281205	0.023725159	0.014490484	0.002540271	0.014368114	0.003194472	0.018140597	0.000860366	0.014236344	0.006342722	0.002168687	0.012852256	0.015018476	0.01965791	0.001325748	0.008840822	0.003729816	0.001090633	0.012017207	0.014914189
94	0.004983267	0.000244605	0.023916368	0.01655357	0.002446495	0.014481644	0.004272757	0.016881865	0.001043564	0.011526869	0.004352059	0.001480337	0.014578516	0.014261309	0.01907708	0.001782035	0.009284094	0.005582265	0.001126979	0.012730362	0.014684042
95	0.004706562	0.000330424	0.020926773	0.017637142	0.002920067	0.014957885	0.004040176	0.016064902	0.000807672	0.010088673	0.004119265	0.001961204	0.016293772	0.017555189	0.016033108	0.00168599	0.007228059	0.004716056	0.000910263	0.013645412	0.018256693
96	0.004451019	0.00027122	0.027268496	0.013965777	0.003037529	0.014216396	0.003943638	0.018749794	0.000882357	0.015677968	0.00488339	0.001643456	0.012496372	0.017579907	0.018677887	0.001674504	0.006812659	0.003412782	0.001181182	0.013023159	0.019133598
97	0.004561584	0.00020002	0.020258806	0.013838119	0.00275315	0.012253695	0.003280196	0.014595891	0.000733195	0.008701963	0.005063998	0.001893665	0.011880526	0.014876359	0.011693671	0.001696595	0.009283172	0.00529767	0.000930376	0.013141142	0.017256585
98	0.004017451	0.000366159	0.026767992	0.015711805	0.002905205	0.012531871	0.004081022	0.012582119	0.000781113	0.011329316	0.006651377	0.001885287	0.01340199	0.01635553	0.015678521	0.001830359	0.007499546	0.003405807	0.000965088	0.011951984	0.01850551
